"ID","regime","jour","poids"
44,"D",12,127
45,"D",12,135
46,"D",12,144
47,"D",12,148
48,"D",12,154
49,"D",12,152
50,"D",12,155
1,"A",14,125
2,"A",14,138
3,"A",14,138
4,"A",14,108
5,"A",14,164
6,"A",14,148
7,"A",14,174
8,"A",14,116
9,"A",14,92
10,"A",14,96
11,"A",14,177
12,"A",14,135
13,"A",14,70
14,"A",14,192
15,"A",14,68
17,"A",14,103
19,"A",14,88
20,"A",14,89
21,"B",14,240
22,"B",14,111
23,"B",14,135
24,"B",14,71
25,"B",14,164
26,"B",14,147
27,"B",14,123
28,"B",14,156
29,"B",14,150
30,"B",14,122
31,"C",14,138
32,"C",14,179
33,"C",14,144
34,"C",14,186
35,"C",14,238
36,"C",14,166
37,"C",14,112
38,"C",14,154
39,"C",14,146
40,"C",14,182
41,"D",14,153
42,"D",14,174
43,"D",14,188
44,"D",14,138
45,"D",14,141
46,"D",14,156
47,"D",14,157
48,"D",14,170
49,"D",14,166
50,"D",14,175
1,"A",16,149
2,"A",16,162
3,"A",16,163
4,"A",16,136
5,"A",16,197
6,"A",16,155
7,"A",16,218
8,"A",16,126
9,"A",16,93
10,"A",16,101
11,"A",16,182
12,"A",16,162
13,"A",16,71
14,"A",16,227
17,"A",16,113
19,"A",16,106
20,"A",16,98
21,"B",16,275
22,"B",16,131
23,"B",16,145
24,"B",16,72
25,"B",16,197
26,"B",16,169
27,"B",16,144
28,"B",16,184
29,"B",16,187
30,"B",16,143
31,"C",16,170
32,"C",16,221
33,"C",16,151
34,"C",16,235
35,"C",16,287
36,"C",16,198
37,"C",16,135
38,"C",16,192
39,"C",16,170
40,"C",16,215
41,"D",16,175
42,"D",16,204
43,"D",16,197
44,"D",16,145
45,"D",16,147
46,"D",16,173
47,"D",16,168
48,"D",16,222
49,"D",16,184
50,"D",16,205
1,"A",18,171
2,"A",18,187
3,"A",18,187
4,"A",18,154
5,"A",18,199
6,"A",18,160
7,"A",18,250
8,"A",18,134
9,"A",18,100
10,"A",18,112
11,"A",18,184
12,"A",18,185
13,"A",18,81
14,"A",18,248
17,"A",18,123
19,"A",18,120
20,"A",18,107
21,"B",18,307
22,"B",18,148
23,"B",18,163
24,"B",18,72
25,"B",18,231
26,"B",18,205
27,"B",18,163
28,"B",18,207
29,"B",18,230
30,"B",18,151
31,"C",18,204
32,"C",18,263
33,"C",18,146
34,"C",18,294
35,"C",18,332
36,"C",18,227
37,"C",18,157
38,"C",18,232
39,"C",18,214
40,"C",18,262
41,"D",18,184
42,"D",18,234
43,"D",18,198
44,"D",18,146
45,"D",18,174
46,"D",18,210
47,"D",18,185
48,"D",18,261
49,"D",18,203
50,"D",18,234
1,"A",20,199
2,"A",20,209
3,"A",20,198
4,"A",20,160
5,"A",20,220
6,"A",20,160
7,"A",20,288
8,"A",20,125
9,"A",20,100
10,"A",20,120
11,"A",20,181
12,"A",20,195
13,"A",20,91
14,"A",20,259
17,"A",20,133
19,"A",20,144
20,"A",20,115
21,"B",20,318
22,"B",20,164
23,"B",20,170
24,"B",20,76
25,"B",20,259
26,"B",20,236
27,"B",20,185
28,"B",20,212
29,"B",20,279
30,"B",20,157
31,"C",20,235
32,"C",20,291
33,"C",20,156
34,"C",20,327
35,"C",20,361
36,"C",20,225
37,"C",20,169
38,"C",20,280
39,"C",20,250
40,"C",20,295
41,"D",20,199
42,"D",20,269
43,"D",20,199
45,"D",20,197
46,"D",20,231
47,"D",20,210
48,"D",20,303
49,"D",20,233
50,"D",20,264
1,"A",21,205
2,"A",21,215
3,"A",21,202
4,"A",21,157
5,"A",21,223
6,"A",21,157
7,"A",21,305
9,"A",21,98
10,"A",21,124
11,"A",21,175
12,"A",21,205
13,"A",21,96
14,"A",21,266
17,"A",21,142
19,"A",21,157
20,"A",21,117
21,"B",21,331
22,"B",21,167
23,"B",21,175
24,"B",21,74
25,"B",21,265
26,"B",21,251
27,"B",21,192
28,"B",21,233
29,"B",21,309
30,"B",21,150
31,"C",21,256
32,"C",21,305
33,"C",21,147
34,"C",21,341
35,"C",21,373
36,"C",21,220
37,"C",21,178
38,"C",21,290
39,"C",21,272
40,"C",21,321
41,"D",21,204
42,"D",21,281
43,"D",21,200
45,"D",21,196
46,"D",21,238
47,"D",21,205
48,"D",21,322
49,"D",21,237
50,"D",21,264
